graded_3,graded_1,graded_2
"('balsa', 0.28297311644754336)","('cuadro', 0.3249588914601533)","('mosén', 0.26826483297640896)"
"('merced', 0.24887047313606167)","('ir', 0.2952682740333318)","('marinero', 0.2428945562368246)"
"('disco', 0.21909695485698483)","('camping', 0.2699432988218885)","('cura', 0.1897459735831218)"
"('responder', 0.2008760835075408)","('ser', 0.25589982468192113)","('pez', 0.18110862863429386)"
"('decir', 0.17517237872569585)","('español', 0.24949898533649373)","('isla', 0.1789651837554856)"
"('madre', 0.17443937318328995)","('sinagoga', 0.24207285511701634)","('mujer', 0.1761917555179031)"
"('si', 0.17162963729608205)","('museo', 0.23432618068207584)","('ciego', 0.15280393123934738)"
"('departamento', 0.1556039596715286)","('agencia', 0.23073309005965442)","('padre', 0.15058327090539075)"
"('indio', 0.14664030820261004)","('tener', 0.22461458061011283)","('arca', 0.14787477216711037)"
"('gratin', 0.14422146449204054)","('socio', 0.21534447827044417)","('niño', 0.1415371375993035)"
"('hall', 0.14422146449204054)","('contesto', 0.21206541400914058)","('gatito', 0.14097468736259985)"
"('music', 0.14422146449204054)","('verónicamente', 0.2029783983432061)","('multitud', 0.13389026014098682)"
"('caballo', 0.14108025040923786)","('gustar', 0.19363631087625946)","('alameda', 0.12866212177011413)"
"('tíaú', 0.14099768465419016)","('pregunta', 0.19342260723469706)","('río', 0.1262660199826653)"
"('cosa', 0.13701154302305268)","('señor', 0.18580451332657746)","('fuego', 0.12502322223063844)"
"('querío', 0.13224812874780936)","('bolsa', 0.18553617566440703)","('allá', 0.12463007883931566)"
"('jesuita', 0.1243037920072569)","('lunes', 0.17598665169462527)","('dar', 0.12075023313263743)"
"('andante', 0.12324564447407718)","('inspector', 0.17189644518058386)","('ver', 0.1194785722104371)"
"('nombre', 0.10986458381090097)","('ladrón', 0.16576198917784293)","('plaza', 0.11887787774000447)"
"('historia', 0.10620697181690786)","('oficina', 0.16361097593907767)","('ropa', 0.11657335622582099)"
"('haber', 0.10445738080511248)","('despacho', 0.15590575505231563)","('aquel', 0.11640136940024455)"
"('hombre', 0.10363358053347056)","('billete', 0.15332054829983957)","('vos', 0.11392449844132725)"
"('nativo', 0.09733323642449634)","('trabajar', 0.15191909017058658)","('cabina', 0.11254666080035239)"
"('personal', 0.09638285241887538)","('ahora', 0.15172098306727969)","('lleno', 0.11252340893541872)"
"('expedición', 0.09598349534810188)","('vacaciones', 0.15115071921792114)","('camión', 0.1120417535164545)"
"('aventura', 0.09587876781548155)","('detective', 0.14677115895079398)","('vez', 0.11201858937398898)"
"('religioso', 0.09534332813185012)","('policía', 0.14526750687975457)","('empezar', 0.11140933750342014)"
"('asno', 0.09447293727014507)","('calle', 0.14388171741397976)","('brasa', 0.11011331710210975)"
"('guaraníe', 0.09322784400544268)","('actriz', 0.14251762883723268)","('amar', 0.10606565194315719)"
"('atreviste', 0.09303190229012064)","('interesante', 0.14249003052685486)","('iguano', 0.1055803370123826)"
"('insumiso', 0.09303190229012064)","('caso', 0.1404513705233578)","('vecino', 0.10490241649993162)"
"('bueno', 0.09258136154994892)","('serie', 0.13923985437242803)","('hacer', 0.10245082253880188)"
"('venta', 0.09182641994000615)","('señora', 0.1383923002256231)","('brazo', 0.10223991732683414)"
"('moto', 0.09053665894325985)","('llave', 0.13585025353013805)","('pueblo', 0.10059445911366208)"
"('sortijo', 0.08971031270943909)","('playa', 0.13556767035196682)","('hora', 0.1004690437871654)"
"('industria', 0.08964275697163165)","('edificio', 0.1319370122079194)","('saco', 0.0985271611887254)"
"('ventero', 0.08685489073557515)","('ventanilla', 0.12889529442359185)","('meter', 0.0980177901971952)"
"('belle', 0.08653287869522434)","('leer', 0.1257238062332991)","('alcalde', 0.09691783734546418)"
"('époque', 0.08653287869522434)","('mañana', 0.12506138027461586)","('rambla', 0.09555159490316101)"
"('dama', 0.0854247226382793)","('periódico', 0.12247517181851542)","('entonces', 0.09485560976242685)"
"('aunque', 0.08393973495712415)","('inscripción', 0.12103642755850817)","('batalla', 0.0945301790544001)"
"('querer', 0.08201494340291955)","('lago', 0.12090299811683525)","('marido', 0.09403917680053504)"
"('ver', 0.08173973803861663)","('expresión', 0.11957588190573164)","('abuelo', 0.09380581213417298)"
"('sistema', 0.08124734900565989)","('brava', 0.119438018423464)","('proteger', 0.09347841878370533)"
"('poner', 0.08113682395706674)","('decir', 0.1185842597670619)","('aún', 0.0925461374881834)"
"('cuyo', 0.08086908937317487)","('pensar', 0.11748734215523099)","('abierto', 0.0913809638791292)"
"('pronto', 0.0801786688095637)","('volar', 0.11599390925975299)","('caminar', 0.09120334569947514)"
"('social', 0.0799375633543006)","('cliente', 0.11575515263001332)","('volví', 0.09074873647978372)"
"('artístico', 0.07981251446931316)","('aquí', 0.11569344374630473)","('llorar', 0.0892106518315185)"
"('europeo', 0.07814163088857781)","('artículo', 0.1124029412941254)","('negro', 0.08915003515996316)"
"('propio', 0.07785440695999153)","('café', 0.11206230512754331)","('caña', 0.08860386151360318)"
"('embarcación', 0.0771744863038755)","('extranjero', 0.11050812205384472)","('ojo', 0.08849789432945608)"
"('polinesio', 0.0771744863038755)","('azul', 0.10935131924802892)","('balcón', 0.0877426550599668)"
"('tronco', 0.0771744863038755)","('día', 0.10815506767704273)","('enfermo', 0.087062288820148)"
"('arte', 0.0770365922011488)","('comprar', 0.10664179695376391)","('cámara', 0.08688217525035583)"
"('caballería', 0.07670914073442572)","('agosto', 0.10649242134649449)","('hoguera', 0.08663309661051717)"
"('arqueólogo', 0.07588939253053059)","('típico', 0.10625318039253966)","('higgins', 0.08638391210104031)"
"('triste', 0.07519587516055429)","('bonito', 0.1061193350732612)","('monaguillo', 0.08604721057733873)"
"('cecilia', 0.07457882503271024)","('escalera', 0.10567816642120739)","('cuarto', 0.08529035560236974)"
"('podías', 0.07442552183209651)","('oca', 0.1045131584077572)","('pan', 0.08336836090969492)"
"('así', 0.0743339552145412)","('fuente', 0.10340897120879759)","('san', 0.08330389254100544)"
"('civilización', 0.07420279028346148)","('querer', 0.10317167861039271)","('boca', 0.08316287192278102)"
"('arma', 0.07321923025958764)","('robo', 0.10280567567836867)","('junto', 0.08276957749029959)"
"('faustino', 0.07245560054020775)","('quién', 0.10240090274299171)","('horchata', 0.08237897931826738)"
"('fonda', 0.07245560054020775)","('bar', 0.100913861035946)","('dos', 0.08207798099834207)"
"('forma', 0.07236468160100289)","('hoy', 0.09974089093927119)","('noche', 0.08202533803799543)"
"('antepasado', 0.07219620051603047)","('barrio', 0.09927848012308235)","('manera', 0.08160995851636944)"
"('grupo', 0.07198584552727744)","('entender', 0.0987506071663433)","('tienda', 0.0804036852373979)"
"('rato', 0.07154220165607446)","('cocina', 0.0977841329124713)","('lindo', 0.07994473589920979)"
"('contar', 0.07141484625231054)","('hucho', 0.09661763078651335)","('camiseta', 0.07991037427217719)"
"('recepcionista', 0.07051647124328651)","('maleta', 0.09450967869365845)","('izquierda', 0.0790181475600477)"
"('americano', 0.0704719274509647)","('chocolate', 0.0938484430635502)","('encontrar', 0.07896721315422248)"
"('carta', 0.07044607153955729)","('vuelo', 0.09281824424313434)","('perro', 0.07825721186808246)"
"('biblioteca', 0.06931758150526034)","('buen', 0.09071426027611909)","('miedo', 0.0776217955369633)"
"('indígena', 0.06930954105431827)","('cano', 0.08998109960729617)","('mientras', 0.07714350337330056)"
"('patio', 0.0688005704368847)","('jacinto', 0.08998109960729617)","('rincón', 0.07702152025810836)"
"('excavación', 0.06873751694913333)","('apartamento', 0.08980380359572476)","('hacia', 0.07691227445343238)"
"('puesto', 0.06791519232783148)","('taxi', 0.08924084447849098)","('recuerdo', 0.07679972779530236)"
"('martes', 0.06761997780025719)","('fantasma', 0.0879644249012198)","('alrededor', 0.07675942169175752)"
"('mercader', 0.06736842268025435)","('guapo', 0.08635408912947218)","('intentar', 0.07664411873726197)"
"('replicar', 0.06731466224595567)","('joya', 0.08564685961678564)","('abrí', 0.07634810336341893)"
"('comenzar', 0.06710595292292088)","('madrileño', 0.08524771430345701)","('nuevo', 0.07602889775254967)"
"('mantener', 0.06665777108040614)","('robar', 0.08506936563613723)","('barco', 0.07600810388388454)"
"('escudero', 0.06641844585661627)","('emplear', 0.08486436563803659)","('secuestrado', 0.07580946877984789)"
"('cien', 0.06589192328538995)","('tren', 0.08441671958412754)","('puse', 0.07552818033971201)"
"('velar', 0.06554514655796503)","('explicar', 0.08335133522542172)","('voz', 0.07550883445212801)"
"('culpable', 0.0654761287560311)","('fumador', 0.08333791880635237)","('respondí', 0.07527772705814938)"
